Name,Author,Reviews,Price,Year,Genre,Read
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,7038,7,2012,Fiction,No
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,7038,7,2013,Fiction,No
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,5972,10,2014,Non Fiction,No
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,25624,14,2015,Fiction,No
Guts,Raina Telgemeier,5476,7,2019,Non Fiction,No
Hamilton: The Revolution,Lin-Manuel Miranda,5867,54,2016,Non Fiction,No
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4148,11,2013,Non Fiction,No
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,19622,30,2016,Fiction,No
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,23973,12,2016,Fiction,No
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,7758,18,2019,Fiction,No
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,3146,30,2017,Fiction,No
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,10052,22,2016,Fiction,No
Harry Potter Coloring Book,Scholastic,3564,9,2015,Non Fiction,No
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,13471,52,2016,Fiction,No
Have a Little Faith: A True Story,Mitch Albom,1930,4,2009,Non Fiction,No
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,15779,10,2011,Non Fiction,No
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,15779,10,2012,Non Fiction,No
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,15526,14,2016,Non Fiction,No
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,15526,14,2017,Non Fiction,No
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,3776,22,2018,Non Fiction,No
How to Win Friends & Influence People,Dale Carnegie,25001,11,2014,Non Fiction,No
How to Win Friends & Influence People,Dale Carnegie,25001,11,2015,Non Fiction,No
How to Win Friends & Influence People,Dale Carnegie,25001,11,2016,Non Fiction,No
How to Win Friends & Influence People,Dale Carnegie,25001,11,2017,Non Fiction,No
How to Win Friends & Influence People,Dale Carnegie,25001,11,2018,Non Fiction,No
Howard Stern Comes Again,Howard Stern,5272,16,2019,Non Fiction,No
Humans of New York,Brandon Stanton,3490,15,2013,Non Fiction,No
Humans of New York,Brandon Stanton,3490,15,2014,Non Fiction,No
Humans of New York : Stories,Brandon Stanton,2812,17,2015,Non Fiction,No
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4896,17,2013,Non Fiction,No
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,9737,7,2019,Non Fiction,No
"I, Alex Cross",James Patterson,1320,7,2009,Fiction,No
If Animals Kissed Good Night,Ann Whitford Paul,16643,4,2017,Fiction,No
If Animals Kissed Good Night,Ann Whitford Paul,16643,4,2019,Fiction,No
If I Stay,Gayle Forman,7153,9,2014,Fiction,No
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4571,21,2011,Non Fiction,No
Inferno,Dan Brown,29651,14,2013,Fiction,No
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,5299,20,2011,Fiction,No
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,7396,13,2019,Non Fiction,No
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,7396,13,2018,Non Fiction,No
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,7062,12,2019,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2011,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2012,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2013,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2014,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2015,Non Fiction,No
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,19576,8,2016,Non Fiction,No
JOURNEY TO THE ICE P,RH Disney,978,0,2014,Fiction,No
Joyland (Hard Case Crime),Stephen King,4748,12,2013,Fiction,No
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,8393,17,2017,Non Fiction,No
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,11391,12,2013,Non Fiction,No
Killing Kennedy: The End of Camelot,Bill O'Reilly,8634,25,2012,Non Fiction,No
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,9342,10,2011,Non Fiction,No
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,9342,10,2012,Non Fiction,No
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,10927,6,2014,Non Fiction,No
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,5235,5,2015,Non Fiction,No
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,8916,6,2016,Non Fiction,No
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,2507,8,2018,Non Fiction,No
Knock-Knock Jokes for Kids,Rob Elliott,3673,4,2013,Non Fiction,No
Knock-Knock Jokes for Kids,Rob Elliott,3673,4,2014,Non Fiction,No
Knock-Knock Jokes for Kids,Rob Elliott,3673,4,2015,Non Fiction,No
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,11881,13,2018,Fiction,No
Laugh-Out-Loud Jokes for Kids,Rob Elliott,6990,4,2013,Non Fiction,No
Laugh-Out-Loud Jokes for Kids,Rob Elliott,6990,4,2014,Non Fiction,No
Laugh-Out-Loud Jokes for Kids,Rob Elliott,6990,4,2015,Non Fiction,No
Laugh-Out-Loud Jokes for Kids,Rob Elliott,6990,4,2016,Non Fiction,No
Laugh-Out-Loud Jokes for Kids,Rob Elliott,6990,4,2017,Non Fiction,No
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,6132,13,2013,Non Fiction,No
Leonardo da Vinci,Walter Isaacson,3014,21,2017,Non Fiction,No
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,7550,6,2018,Non Fiction,No
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,3828,15,2009,Non Fiction,No
Life,Keith Richards,2752,18,2010,Non Fiction,No
Little Bee: A Novel,Chris Cleave,1467,10,2010,Fiction,No
Little Blue Truck,Alice Schertle,1884,0,2014,Fiction,No
Little Fires Everywhere,Celeste Ng,25706,12,2018,Fiction,No
Looking for Alaska,John Green,8491,7,2014,Fiction,No
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,1649,13,2011,Non Fiction,No
Love You Forever,Robert Munsch,18613,5,2014,Fiction,No
Love You Forever,Robert Munsch,18613,5,2015,Fiction,No
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,9867,16,2018,Non Fiction,No
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,1386,20,2014,Non Fiction,No
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,10199,11,2017,Non Fiction,No
"Mastering the Art of French Cooking, Vol. 2",Julia Child,2926,27,2009,Non Fiction,No
Milk and Honey,Rupi Kaur,17739,8,2016,Non Fiction,No
Milk and Honey,Rupi Kaur,17739,8,2017,Non Fiction,No
Milk and Honey,Rupi Kaur,17739,8,2018,Non Fiction,No
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,3113,6,2017,Non Fiction,No
Mindset: The New Psychology of Success,Carol S. Dweck,5542,10,2014,Non Fiction,No
Mindset: The New Psychology of Success,Carol S. Dweck,5542,10,2015,Non Fiction,No
Mindset: The New Psychology of Success,Carol S. Dweck,5542,10,2016,Non Fiction,No
Mockingjay (The Hunger Games),Suzanne Collins,26741,8,2010,Fiction,No
Mockingjay (The Hunger Games),Suzanne Collins,26741,8,2011,Fiction,No
Mockingjay (The Hunger Games),Suzanne Collins,26741,8,2012,Fiction,No
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,5347,16,2019,Non Fiction,No
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,7866,11,2019,Non Fiction,No
New Moon (The Twilight Saga),Stephenie Meyer,5680,10,2009,Fiction,No
Night (Night),Elie Wiesel,5178,9,2016,Non Fiction,No
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,8093,14,2012,Non Fiction,No
Obama: An Intimate Portrait,Pete Souza,3192,22,2017,Non Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2012,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2013,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2014,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2015,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2016,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2017,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2018,Fiction,No
"Oh, the Places You'll Go!",Dr. Seuss,21834,8,2019,Fiction,No
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,6169,7,2015,Fiction,No
Olive Kitteridge,Elizabeth Strout,4519,12,2009,Fiction,No
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,3163,13,2011,Non Fiction,No
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,3163,13,2012,Non Fiction,No
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,1831,9,2017,Non Fiction,No
Origin: A Novel (Robert Langdon),Dan Brown,18904,13,2017,Fiction,No
Orphan Train,Christina Baker Kline,21930,11,2014,Fiction,No
Outliers: The Story of Success,Malcolm Gladwell,10426,20,2009,Non Fiction,No
Outliers: The Story of Success,Malcolm Gladwell,10426,20,2010,Non Fiction,No
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,10820,5,2018,Non Fiction,No
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,10820,5,2019,Non Fiction,No
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,548,2,2010,Fiction,No
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,16990,27,2017,Fiction,No
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,16990,27,2018,Fiction,No
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,16990,27,2019,Fiction,No
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,3503,9,2016,Fiction,No
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,13616,10,2012,Non Fiction,No
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,13616,10,2013,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2009,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2010,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2011,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2012,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2013,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2014,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2015,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2016,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2017,Non Fiction,No
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,8580,46,2018,Non Fiction,No
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4757,4,2017,Fiction,No
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,10009,20,2012,Non Fiction,No
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,10009,7,2013,Non Fiction,No
Radical: Taking Back Your Faith from the American Dream,David Platt,1985,9,2010,Non Fiction,No
Radical: Taking Back Your Faith from the American Dream,David Platt,1985,9,2011,Non Fiction,No
Ready Player One: A Novel,Ernest Cline,22536,12,2017,Fiction,No
Ready Player One: A Novel,Ernest Cline,22536,12,2018,Fiction,No
